ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min),velocidad (kmh)
23266,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-18,02:52:00,2.57,6.0,25.71
23267,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-20,13:41:00,2.01,6.0,20.09
23268,Jr. Tarapacá Puno,"-15.83755,-70.029158",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-06-12,05:22:00,2.93,7.73,22.71
23269,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-09,14:38:00,0.67,3.0,13.44
23270,Colegio Adventista Puno,"-15.8366071,-70.0291852",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-09,07:15:00,2.3,6.0,22.96
23271,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-02,01:04:00,1.97,6.0,19.7
23272,Avenida Floral Puno,"-15.8268687,-70.0141471",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-06,03:25:00,2.52,6.97,21.65
23273,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-22,13:11:00,2.12,6.0,21.22
23274,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-23,01:21:00,5.27,12.0,26.37
23275,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Parque San Román Puno,"-15.841093,-70.029431",2024-09-28,10:27:00,6.5,12.19,31.99
23276,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-25,20:39:00,1.85,6.0,18.54
23277,Jr. Lima Puno,"-15.838756,-70.02816",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-06-14,12:17:00,0.61,3.0,12.18
23278,Terminal Terrestre Puno,"-15.843678,-70.017225",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-24,07:36:00,2.56,6.02,25.55
23279,Urbanización Alto Puno,"-15.814292,-70.031918",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-16,20:28:00,5.53,12.2,27.21
23280,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-11-04,21:40:00,2.12,6.0,21.21
23281,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-12,02:56:00,1.86,6.0,18.55
23282,Colegio Adventista Puno,"-15.8366071,-70.0291852",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-06,22:27:00,1.35,6.0,13.51
23283,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-18,19:11:00,1.42,6.0,14.25
23284,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-07,09:41:00,8.86,16.0,33.21
23285,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-17,20:04:00,4.3,10.0,25.79
23286,Parque Pino Puno,"-15.8378073,-70.0280672",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-11-01,23:06:00,0.39,3.0,7.8
23287,Parque del Periodista Puno,"-15.839012,-70.023311",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-02,20:36:00,0.81,3.0,16.16
23288,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-21,04:42:00,1.04,6.0,10.45
23289,Jr. Lima Puno,"-15.838756,-70.02816",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-22,04:22:00,1.31,6.0,13.07
23290,Av. Costanera Puno,"-15.8399095,-70.0176539",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-28,15:31:00,6.52,12.0,32.61
23291,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-24,05:17:00,1.2,6.0,12.0
23292,Jr. Lima Puno,"-15.838756,-70.02816",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-07-09,20:29:00,8.92,16.0,33.44
23293,Urbanización Alto Puno,"-15.814292,-70.031918",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-11-16,22:06:00,3.24,10.0,19.46
23294,Jr. Lima Puno,"-15.838756,-70.02816",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-07-27,01:36:00,0.9,3.0,18.0
23295,Urbanización Bellavista Puno,"-15.832755,-70.022242",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-07-05,23:53:00,2.09,6.0,20.86
23296,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-08,04:00:00,0.28,3.0,5.58
23297,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-06-14,16:10:00,2.66,6.7,23.79
23298,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-06,20:59:00,8.63,16.0,32.38
23299,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-26,18:40:00,1.88,6.0,18.77
23300,Jr. Tarapacá Puno,"-15.83755,-70.029158",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-05,12:17:00,0.64,3.0,12.88
23301,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-31,04:14:00,8.03,16.0,30.12
23302,Avenida Floral Puno,"-15.8268687,-70.0141471",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-07-08,03:48:00,3.53,10.0,21.19
23303,Puerto Lacustre Puno,"-15.835401,-70.014945",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-23,05:16:00,1.46,6.0,14.62
23304,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-01,21:21:00,6.55,12.25,32.07
23305,Parque San Román Puno,"-15.841093,-70.029431",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-02,10:55:00,3.33,10.0,19.99
23306,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-26,10:57:00,1.01,6.0,10.14
23307,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-20,13:35:00,4.35,10.0,26.08
23308,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-02,03:00:00,5.2,12.0,26.02
23309,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-22,09:10:00,0.22,3.0,4.42
23310,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-12,04:19:00,1.83,6.0,18.29
23311,Parque San Román Puno,"-15.841093,-70.029431",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-03,15:09:00,0.67,3.0,13.42
23312,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-11,05:15:00,1.15,6.0,11.5
23313,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-17,11:18:00,0.32,3.0,6.3
23314,Avenida La Torre Puno,"-15.8336052,-70.0276202",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-30,07:29:00,3.02,10.0,18.14
23315,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-10,08:24:00,1.13,6.0,11.31
23316,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-10-17,23:23:00,4.6,10.0,27.59
23317,Salcedo Puno,"-15.8687992,-69.9986595",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-31,18:01:00,7.19,14.66,29.41
23318,Senati Puno,"-15.8699536,-69.9988485",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-06-14,02:43:00,6.88,12.25,33.71
23319,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-11-09,01:33:00,0.11,3.0,2.2
23320,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-09,05:26:00,5.52,12.0,27.58
23322,Parque del Periodista Puno,"-15.839012,-70.023311",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-18,11:43:00,2.21,6.0,22.07
23323,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-28,20:36:00,1.54,6.0,15.37
23325,Avenida El Sol Puno,"-15.8458219,-70.0202123",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-25,08:10:00,1.97,6.0,19.68
23326,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-24,20:55:00,4.14,10.0,24.82
23327,Plaza Vea Puno,"-15.83636,-70.025604",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-08-21,17:01:00,9.68,18.45,31.49
23328,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-21,14:39:00,10.46,19.71,31.86
23329,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-17,04:48:00,3.8,10.0,22.78
23330,Av. Costanera Puno,"-15.8399095,-70.0176539",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-19,08:51:00,0.8,3.0,16.04
23331,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Parque del Periodista Puno,"-15.839012,-70.023311",2024-07-16,23:31:00,2.68,7.38,21.75
23332,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-17,23:12:00,3.44,10.0,20.63
23333,Colegio Adventista Puno,"-15.8366071,-70.0291852",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-07-22,14:21:00,9.16,19.09,28.79
23334,Avenida El Sol Puno,"-15.8458219,-70.0202123",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-01,12:26:00,0.6,3.0,12.02
23335,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-09,08:47:00,1.6,6.0,15.95
23336,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-01,11:47:00,5.78,12.68,27.33
23337,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-09-30,14:56:00,3.1,10.0,18.59
23338,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-18,06:42:00,4.14,10.0,24.85
23339,Colegio Adventista Puno,"-15.8366071,-70.0291852",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-01,08:44:00,1.04,6.0,10.45
23340,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-23,16:59:00,3.79,10.0,22.75
23341,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-02,01:16:00,3.89,10.0,23.36
23342,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Alto Puno,"-15.814292,-70.031918",2024-10-02,18:46:00,4.41,10.0,26.44
23343,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-08-22,17:08:00,0.57,3.0,11.48
23344,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-07-21,22:13:00,1.01,6.0,10.09
23345,Parque del Periodista Puno,"-15.839012,-70.023311",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-11-22,11:42:00,3.79,10.0,22.73
23346,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-02,13:03:00,6.87,13.04,31.62
23347,Salcedo Puno,"-15.8687992,-69.9986595",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-14,23:10:00,2.95,7.28,24.34
23348,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-28,16:22:00,0.52,3.0,10.38
23349,Parque San Román Puno,"-15.841093,-70.029431",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-07-24,14:40:00,1.66,6.0,16.59
23350,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-09-26,07:38:00,4.6,10.0,27.61
23351,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-12,02:40:00,0.69,3.0,13.84
23352,Colegio Adventista Puno,"-15.8366071,-70.0291852",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-07-03,14:30:00,8.05,16.56,29.16
23353,Parque San Román Puno,"-15.841093,-70.029431",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-23,13:06:00,8.3,16.69,29.85
23354,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-08,13:03:00,1.34,6.0,13.45
23355,Jr. Tarapacá Puno,"-15.83755,-70.029158",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-08,06:22:00,2.39,6.0,23.86
23356,Parque del Periodista Puno,"-15.839012,-70.023311",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-01,19:22:00,0.22,3.0,4.3
23357,Plaza Vea Puno,"-15.83636,-70.025604",Senati Puno,"-15.8699536,-69.9988485",2024-10-27,12:14:00,7.47,16.65,26.92
23358,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-23,19:55:00,7.44,16.03,27.86
23359,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-28,06:31:00,2.74,7.29,22.54
23360,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-11-20,23:35:00,6.53,14.25,27.48
23361,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-28,15:49:00,3.48,10.0,20.86
23362,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-10,18:51:00,0.44,3.0,8.78
23363,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-11-08,08:54:00,1.22,6.0,12.24
23364,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-02,14:54:00,2.93,7.16,24.56
23365,Puerto Lacustre Puno,"-15.835401,-70.014945",Plaza Vea Puno,"-15.83636,-70.025604",2024-08-06,23:49:00,1.61,6.0,16.08
23366,Terminal Terrestre Puno,"-15.843678,-70.017225",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-12,19:38:00,2.57,6.67,23.14
23367,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-09-10,04:58:00,0.31,3.0,6.16
23368,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-07-08,06:10:00,1.66,6.0,16.57
23369,Urbanización Alto Puno,"-15.814292,-70.031918",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-06-22,13:09:00,10.07,16.82,35.93
23370,Terminal Terrestre Puno,"-15.843678,-70.017225",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-02,08:16:00,2.01,6.0,20.07
23371,Plaza Vea Puno,"-15.83636,-70.025604",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-21,03:58:00,0.57,3.0,11.32
23372,Terminal Terrestre Puno,"-15.843678,-70.017225",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-25,13:21:00,1.86,6.0,18.56
23373,Senati Puno,"-15.8699536,-69.9988485",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-06-07,21:01:00,8.03,16.0,30.11
23374,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-15,07:37:00,4.99,12.42,24.12
23375,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-14,14:55:00,5.19,12.0,25.95
23376,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-03,18:32:00,5.88,12.0,29.38
23377,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-07-12,10:33:00,4.46,10.0,26.75
23379,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-22,21:51:00,0.85,3.0,17.0
23380,Urbanización Alto Puno,"-15.814292,-70.031918",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-10-30,07:21:00,4.03,10.0,24.18
23381,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-11-05,17:13:00,2.86,6.05,28.4
23382,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-09-26,09:13:00,3.62,10.0,21.73
23383,Jr. Tarapacá Puno,"-15.83755,-70.029158",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-08,08:05:00,2.35,6.46,21.79
23384,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-19,09:27:00,5.79,12.0,28.94
23385,Parque del Periodista Puno,"-15.839012,-70.023311",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-27,09:06:00,1.27,6.0,12.74
23386,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-10,08:37:00,3.73,10.0,22.4
23387,Puerto Lacustre Puno,"-15.835401,-70.014945",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-29,17:36:00,3.25,10.0,19.48
23388,Avenida La Torre Puno,"-15.8336052,-70.0276202",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-04,21:52:00,0.7,3.0,13.94
23389,Plaza Vea Puno,"-15.83636,-70.025604",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-28,14:37:00,1.95,6.0,19.49
23390,Plaza Vea Puno,"-15.83636,-70.025604",Urbanización Alto Puno,"-15.814292,-70.031918",2024-06-04,04:29:00,3.82,10.0,22.91
23391,Parque del Periodista Puno,"-15.839012,-70.023311",Parque del Niño Puno,"-15.858797,-70.012071",2024-11-26,17:00:00,3.82,10.0,22.9
23392,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-10,19:01:00,6.29,12.43,30.38
23393,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-09-26,15:42:00,0.68,3.0,13.64
23395,Urbanización Alto Puno,"-15.814292,-70.031918",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-13,22:58:00,3.96,10.0,23.77
23397,Jr. Tarapacá Puno,"-15.83755,-70.029158",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-04,17:03:00,2.35,6.0,23.46
23398,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-18,04:44:00,4.84,10.0,29.04
23399,Terminal Terrestre Puno,"-15.843678,-70.017225",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-07-20,02:32:00,5.31,12.0,26.55
23400,Parque del Periodista Puno,"-15.839012,-70.023311",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-09-15,19:02:00,1.12,6.0,11.2
23401,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-11-03,07:28:00,7.72,13.68,33.86
23402,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-21,03:21:00,1.66,6.0,16.62
23403,Colegio Don Bosco Puno,"-15.883085,-70.001176",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-07,15:17:00,8.22,16.0,30.83
23404,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-25,01:31:00,3.05,10.0,18.32
23405,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-27,22:59:00,0.59,3.0,11.78
23406,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-11-28,07:28:00,1.91,6.0,19.12
23407,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-13,09:30:00,5.28,12.0,26.38
23408,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-18,11:27:00,1.23,6.0,12.34
23409,Puerto Lacustre Puno,"-15.835401,-70.014945",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-16,06:13:00,3.5,10.0,21.01
23410,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-11-27,10:21:00,1.25,6.0,12.5
23411,Jayllihuaya Puno,"-15.8787471,-69.9751057",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-09-23,15:04:00,4.26,10.0,25.58
23413,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-16,00:33:00,4.36,10.0,26.17
23414,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-06-03,07:28:00,3.84,10.0,23.07
23415,Plaza Vea Puno,"-15.83636,-70.025604",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-16,13:18:00,2.62,7.04,22.35
23416,Avenida Floral Puno,"-15.8268687,-70.0141471",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-25,11:15:00,2.12,6.0,21.18
23417,Avenida El Sol Puno,"-15.8458219,-70.0202123",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-09-02,05:40:00,1.83,6.0,18.31
23418,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-18,10:01:00,0.92,3.0,18.44
23419,Jr. Lima Puno,"-15.838756,-70.02816",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-14,01:20:00,5.67,12.0,28.35
23420,Parque del Periodista Puno,"-15.839012,-70.023311",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-11-24,17:47:00,3.33,10.0,19.99
23421,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-08-23,04:48:00,3.86,10.0,23.15
23422,Avenida Floral Puno,"-15.8268687,-70.0141471",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-07,05:56:00,2.1,6.0,21.04
23423,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-16,15:08:00,2.77,6.52,25.52
23424,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-28,20:39:00,4.14,10.0,24.86
23425,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-29,04:58:00,2.41,6.0,24.11
23426,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-26,15:46:00,7.49,16.07,27.95
23427,Colegio Don Bosco Puno,"-15.883085,-70.001176",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-12,11:06:00,8.0,16.0,30.0
23428,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-01,06:25:00,0.41,3.0,8.14
23429,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-06,15:42:00,0.44,3.0,8.8
23430,Puerto Lacustre Puno,"-15.835401,-70.014945",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-11-25,06:42:00,2.24,6.0,22.37
23431,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-01,22:44:00,0.38,3.0,7.58
23432,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-25,08:15:00,5.31,12.0,26.56
23433,Puerto Lacustre Puno,"-15.835401,-70.014945",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-09-26,10:15:00,1.38,6.0,13.82
23434,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Senati Puno,"-15.8699536,-69.9988485",2024-09-24,12:27:00,7.24,13.0,33.42
