ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
20506,Parque Pino Puno,"-15.8378073,-70.0280672",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-22,19:03:00,1.18,4.64
20507,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-08-06,00:43:00,0.99,3.29
20508,Urbanización Alto Puno,"-15.8282,-70.0481",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-29,23:08:00,5.07,17.27
20509,Puerto Lacustre Puno,"-15.8491,-70.0185",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-08-08,10:37:00,1.84,5.99
20510,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-10-10,09:30:00,0.8,2.9
20511,Parque Pino Puno,"-15.8378073,-70.0280672",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-09-30,05:14:00,0.8,3.14
20512,Urbanización Alto Puno,"-15.8282,-70.0481",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-27,13:34:00,5.65,15.17
20513,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-07-20,18:15:00,0.88,3.25
20514,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-11-26,12:11:00,3.37,9.09
20515,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Real Plaza Puno,"-15.8426,-70.0141",2024-09-16,09:07:00,2.51,10.16
20516,Avenida Floral Puno,"-15.8268687,-70.0141471",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-06-12,16:51:00,2.83,9.59
20517,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-05,05:03:00,1.55,5.07
20518,Colegio Adventista Puno,"-15.8366071,-70.0291852",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-08-06,10:31:00,2.42,8.33
20519,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-09-26,09:41:00,0.8,2.52
20520,Senati Puno,"-15.8699536,-69.9988485",Parque del Niño Puno,"-15.841,-70.024",2024-11-02,23:50:00,5.51,15.16
20521,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Real Plaza Puno,"-15.8426,-70.0141",2024-07-22,02:05:00,1.93,6.42
20522,Puerto Lacustre Puno,"-15.8491,-70.0185",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-11-19,10:21:00,0.8,3.34
20523,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-03,17:15:00,2.65,8.01
20524,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-08,23:23:00,0.8,3.2
20525,Av. Costanera Puno,"-15.8399095,-70.0176539",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-07-30,14:49:00,1.11,3.45
20526,Real Plaza Puno,"-15.8426,-70.0141",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-05,08:11:00,1.87,7.86
20527,Puerto Lacustre Puno,"-15.8491,-70.0185",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-07-08,08:13:00,1.17,3.94
20528,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-17,08:10:00,1.2,4.06
20529,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Senati Puno,"-15.8699536,-69.9988485",2024-09-11,05:30:00,5.49,14.79
20530,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-14,11:23:00,6.27,15.68
20531,Salcedo Puno,"-15.8687992,-69.9986595",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-07-23,09:47:00,5.99,16.88
20532,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-22,15:39:00,1.57,5.34
20533,Jayllihuaya Puno,"-15.8787471,-69.9751057",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-09-11,03:01:00,7.68,20.5
20534,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-16,10:54:00,3.07,9.67
20535,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-08-08,08:00:00,1.17,4.77
20536,Isla Esteves Puno,"-15.8275387,-69.9925844",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-04,11:00:00,5.36,18.1
20537,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-19,06:07:00,8.58,23.15
20538,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-11-09,18:58:00,1.45,5.51
20539,Jayllihuaya Puno,"-15.8787471,-69.9751057",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-23,00:07:00,7.66,18.55
20540,Parque Pino Puno,"-15.8378073,-70.0280672",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-07-12,09:50:00,0.87,2.94
20541,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-03,12:09:00,1.13,4.5
20542,Hospital ESSALUD Puno,"-15.84,-70.0213",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-10-14,17:01:00,0.8,3.03
20543,Puerto Lacustre Puno,"-15.8491,-70.0185",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-11-11,00:27:00,1.23,4.03
20544,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-09-20,12:19:00,0.8,2.63
20545,Jirón Lima Puno,"-15.8387563,-70.0281599",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-07-17,07:14:00,0.83,3.0
20546,Los Incas Puno,"-15.84,-70.028",Real Plaza Puno,"-15.8426,-70.0141",2024-08-04,04:43:00,2.07,8.06
20547,Terminal Terrestre Puno,"-15.848,-70.0146",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-12,21:52:00,1.81,6.84
20548,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-11-27,22:44:00,1.01,3.77
20549,Parque Pino Puno,"-15.8378073,-70.0280672",Real Plaza Puno,"-15.8426,-70.0141",2024-09-13,04:42:00,2.21,7.64
20550,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-22,21:53:00,1.09,4.01
20551,Catedral Basílica de Puno,"-15.8409556,-70.029004",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-24,05:52:00,1.82,6.26
20552,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-10-20,18:38:00,0.8,3.68
20553,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-29,07:05:00,2.3,8.36
20554,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Real Plaza Puno,"-15.8426,-70.0141",2024-07-15,02:30:00,1.93,7.59
20555,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-08-26,09:06:00,1.5,4.73
20556,Jayllihuaya Puno,"-15.8787471,-69.9751057",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-25,05:43:00,7.63,18.59
20557,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-11-27,12:14:00,2.37,8.44
20558,Los Incas Puno,"-15.84,-70.028",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-03,00:22:00,1.48,5.53
20559,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-11-16,20:42:00,0.8,3.43
20560,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-07-20,23:57:00,0.8,2.66
20561,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-11,20:44:00,5.22,19.64
20562,Salcedo Puno,"-15.8687992,-69.9986595",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-26,17:41:00,9.0,28.19
20563,Jirón Lima Puno,"-15.8387563,-70.0281599",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-10-18,05:49:00,0.8,3.13
20564,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque del Niño Puno,"-15.841,-70.024",2024-10-20,04:33:00,7.76,25.59
20565,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-07-05,19:45:00,4.5,12.93
20566,Puerto Lacustre Puno,"-15.8491,-70.0185",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-01,04:12:00,5.0,15.35
20567,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-09-05,16:18:00,0.8,2.69
20568,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-09-21,11:31:00,1.26,5.17
20569,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Real Plaza Puno,"-15.8426,-70.0141",2024-11-28,13:59:00,1.63,5.45
20570,Terminal Terrestre Puno,"-15.848,-70.0146",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-11,04:31:00,3.93,12.17
20571,Real Plaza Puno,"-15.8426,-70.0141",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-11-07,04:52:00,5.13,14.37
20572,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-11-15,04:11:00,2.82,8.79
20573,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-06-06,11:12:00,1.79,6.31
20574,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-10-06,00:52:00,1.73,5.65
20575,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-25,23:43:00,0.8,2.63
20576,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-07-19,18:08:00,1.86,7.73
20577,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-08-31,00:56:00,2.74,10.69
20578,Isla Esteves Puno,"-15.8275387,-69.9925844",Real Plaza Puno,"-15.8426,-70.0141",2024-10-07,18:08:00,3.78,9.52
20579,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-28,17:11:00,3.29,10.64
20580,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-11-13,07:53:00,0.8,2.66
20581,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-16,07:11:00,2.34,7.85
20582,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Los Incas Puno,"-15.84,-70.028",2024-09-15,06:31:00,0.89,3.39
20583,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-06-25,09:21:00,0.91,3.19
20584,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-18,15:19:00,3.87,10.47
20585,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-06-26,08:40:00,4.43,13.85
20586,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Real Plaza Puno,"-15.8426,-70.0141",2024-09-16,17:10:00,1.47,5.64
20587,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-10,08:53:00,1.3,4.67
20588,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-14,16:12:00,1.73,6.68
20589,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-01,13:05:00,1.06,3.81
20590,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-07-08,10:50:00,5.1,15.77
20591,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-22,07:14:00,0.8,3.15
20592,Parque del Niño Puno,"-15.841,-70.024",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-04,15:09:00,1.73,5.59
20593,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-27,15:12:00,3.25,9.23
20594,Isla Esteves Puno,"-15.8275387,-69.9925844",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-18,14:43:00,5.42,16.47
20595,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-09-11,08:50:00,2.29,8.09
20596,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-11-27,13:45:00,0.8,4.92
20597,Urbanización Huajsapata Puno,"-15.856,-70.0235",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-09-13,05:29:00,2.55,10.64
20598,Avenida El Sol Puno,"-15.8458219,-70.0202123",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-11-12,18:04:00,1.05,4.58
20599,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-11-18,01:14:00,0.8,2.91
20600,Colegio Adventista Puno,"-15.8366071,-70.0291852",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-06,05:17:00,1.15,4.67
20601,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-11,00:57:00,0.8,2.6
20602,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Urbanización Bellavista Puno,"-15.84,-70.028",2024-09-08,03:03:00,4.13,10.74
20603,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-29,06:58:00,2.45,8.38
20604,Municipalidad Provincial de Puno,"-15.84,-70.025",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-10-05,07:22:00,0.8,4.0
20605,Urbanización Alto Puno,"-15.8282,-70.0481",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-10-09,09:16:00,3.2,10.21
20606,Puerto Lacustre Puno,"-15.8491,-70.0185",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-25,09:30:00,3.43,12.61
20607,Salcedo Puno,"-15.8687992,-69.9986595",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-17,08:12:00,6.44,22.83
20608,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-09-23,09:48:00,3.55,10.81
20609,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-11-24,18:27:00,2.91,11.63
20610,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-07-11,01:40:00,0.85,2.74
20611,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-10-22,00:37:00,2.14,6.81
20612,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-08,08:12:00,1.3,4.29
20613,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-23,05:28:00,0.8,2.58
20614,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-06-27,00:57:00,0.8,2.59
20615,Jirón Lima Puno,"-15.8387563,-70.0281599",Urbanización Bellavista Puno,"-15.84,-70.028",2024-06-15,20:28:00,0.8,2.58
20616,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-24,16:28:00,0.8,2.63
20617,Jayllihuaya Puno,"-15.8787471,-69.9751057",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-09-09,08:28:00,6.59,20.8
20618,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-11-01,18:48:00,2.32,7.44
20619,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-08-18,00:53:00,0.8,2.95
20620,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-06,03:29:00,0.8,4.39
20621,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-07-12,04:13:00,1.62,5.91
20622,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-20,19:35:00,0.8,4.16
20623,Colegio Don Bosco Puno,"-15.8282,-70.0481",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-07-03,05:19:00,6.34,18.89
20624,Avenida La Torre Puno,"-15.8336052,-70.0276202",Real Plaza Puno,"-15.8426,-70.0141",2024-09-22,23:43:00,2.46,10.6
20625,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-25,09:26:00,0.91,3.43
20626,Terminal Terrestre Puno,"-15.848,-70.0146",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-27,19:08:00,1.74,7.2
20627,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-26,06:29:00,8.05,20.18
20628,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-20,18:31:00,0.8,2.51
20629,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-07-25,12:59:00,0.8,2.96
20630,Real Plaza Puno,"-15.8426,-70.0141",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-09-23,11:13:00,0.8,3.2
20631,Hospital ESSALUD Puno,"-15.84,-70.0213",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-11-04,01:19:00,2.53,7.74
20632,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-15,05:36:00,4.77,17.79
20633,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-10-18,04:59:00,0.96,3.66
20634,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-02,04:28:00,2.95,10.01
20635,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-16,21:05:00,3.34,9.34
20636,Avenida Floral Puno,"-15.8268687,-70.0141471",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-09-12,01:51:00,2.54,7.8
20637,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Los Incas Puno,"-15.84,-70.028",2024-10-08,06:37:00,4.76,13.51
20638,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-21,02:17:00,1.91,6.42
20639,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-10-10,16:13:00,0.8,2.62
20640,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-09-02,20:21:00,1.15,3.74
20641,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-08-16,07:41:00,0.8,3.38
20642,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Bellavista Puno,"-15.84,-70.028",2024-09-07,07:38:00,0.8,2.86
20643,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-10-22,09:48:00,2.41,8.67
20644,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-10-15,00:58:00,4.51,15.97
20645,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-09-14,14:44:00,2.59,8.91
20646,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-07-04,01:54:00,7.95,24.6
20647,Urbanización Huajsapata Puno,"-15.856,-70.0235",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-09-21,00:38:00,1.36,4.72
20648,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-24,18:50:00,3.79,11.83
20649,Hospital ESSALUD Puno,"-15.84,-70.0213",Terminal Terrestre Puno,"-15.848,-70.0146",2024-10-19,13:33:00,1.53,6.22
20650,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-13,20:09:00,1.89,7.27
20651,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-20,00:54:00,1.4,4.74
20652,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Los Incas Puno,"-15.84,-70.028",2024-08-16,01:06:00,4.46,15.74
20653,Urbanización Bellavista Puno,"-15.84,-70.028",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-09-02,20:46:00,1.81,7.12
20654,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-16,09:50:00,1.23,4.25
20655,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Urbanización Bellavista Puno,"-15.84,-70.028",2024-06-29,04:57:00,1.06,3.95
20656,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Bellavista Puno,"-15.84,-70.028",2024-10-09,15:46:00,0.89,2.96
20657,Hospital ESSALUD Puno,"-15.84,-70.0213",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-03,19:46:00,0.98,3.6
20658,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-07-17,16:58:00,2.74,9.13
20659,Senati Puno,"-15.8699536,-69.9988485",Urbanización Bellavista Puno,"-15.84,-70.028",2024-06-23,01:19:00,6.29,21.7
20660,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-07-07,09:03:00,1.53,4.82
20661,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-06-13,11:17:00,1.41,5.28
20662,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-19,06:09:00,0.94,3.54
20663,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Urbanización Alto Puno,"-15.8282,-70.0481",2024-10-20,05:41:00,3.47,11.33
20664,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-19,15:00:00,1.21,5.04
20665,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Parque Pino Puno,"-15.8378073,-70.0280672",2024-07-24,23:48:00,1.44,5.64
20666,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-08-28,15:03:00,0.8,2.51
20667,Parque Pino Puno,"-15.8378073,-70.0280672",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-09,11:29:00,1.62,6.81
20668,Puerto Lacustre Puno,"-15.8491,-70.0185",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-06-15,17:37:00,1.78,7.07
20669,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-08-13,00:02:00,0.8,3.79
20670,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-03,03:50:00,0.8,3.34
20671,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-09-11,22:48:00,2.73,10.72
20672,Catedral Basílica de Puno,"-15.8409556,-70.029004",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-16,02:55:00,0.8,3.28
20673,Urbanización Huajsapata Puno,"-15.856,-70.0235",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-26,01:52:00,1.64,5.53
20674,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-07-01,11:26:00,0.8,2.62
20675,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-29,14:48:00,0.8,2.67
20676,Puerto Lacustre Puno,"-15.8491,-70.0185",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-06-19,13:02:00,1.97,6.84
