ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
20772,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-07-28,12:10:00
20773,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-23,09:15:00
20774,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-08,04:47:00
20775,Avenida La Torre Puno,"-15.8336052,-70.0276202",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-09-27,01:25:00
20776,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Alto Puno,"-15.814292,-70.031918",2024-09-25,02:01:00
20777,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-11-12,03:49:00
20778,Terminal Terrestre Puno,"-15.843678,-70.017225",Senati Puno,"-15.8699536,-69.9988485",2024-08-16,20:15:00
20779,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-07,16:21:00
20780,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-02,10:08:00
20781,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-11-29,01:15:00
20782,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-28,08:27:00
20783,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-24,12:24:00
20784,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-06-10,18:46:00
20785,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-06-18,12:34:00
20786,Parque del Niño Puno,"-15.858797,-70.012071",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-17,00:47:00
20787,Av. Costanera Puno,"-15.8399095,-70.0176539",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-07-14,09:22:00
20788,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Parque del Periodista Puno,"-15.839012,-70.023311",2024-08-04,14:16:00
20789,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-17,20:02:00
20790,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-07-26,16:41:00
20791,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-11-06,05:19:00
20792,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-29,03:33:00
20793,Senati Puno,"-15.8699536,-69.9988485",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-09,04:58:00
20794,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-27,02:19:00
20795,Avenida Floral Puno,"-15.8268687,-70.0141471",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-23,08:09:00
20796,Parque del Niño Puno,"-15.858797,-70.012071",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-09-01,07:54:00
20797,Avenida Floral Puno,"-15.8268687,-70.0141471",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-13,19:46:00
20798,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-11-16,11:58:00
20799,Parque San Román Puno,"-15.841093,-70.029431",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-10-04,17:13:00
20800,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-20,21:12:00
20801,Jr. Lima Puno,"-15.838756,-70.02816",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-25,18:46:00
20802,Parque Pino Puno,"-15.8378073,-70.0280672",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-09-05,19:08:00
20803,Parque del Periodista Puno,"-15.839012,-70.023311",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-09,05:37:00
20804,Jr. Lima Puno,"-15.838756,-70.02816",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-25,13:58:00
20805,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Parque del Periodista Puno,"-15.839012,-70.023311",2024-06-09,02:47:00
20806,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-17,05:08:00
20807,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-11-10,21:12:00
20808,Ministerio de Cultura Puno,"-15.842631,-70.028915",Parque San Román Puno,"-15.841093,-70.029431",2024-07-16,01:42:00
20809,Senati Puno,"-15.8699536,-69.9988485",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-10-07,16:26:00
20810,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-08,23:24:00
20811,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-11-28,01:38:00
20812,Senati Puno,"-15.8699536,-69.9988485",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-25,18:51:00
20813,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-28,03:02:00
20814,Parque del Periodista Puno,"-15.839012,-70.023311",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-10-23,14:26:00
20815,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-28,03:54:00
20816,Ministerio de Cultura Puno,"-15.842631,-70.028915",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-11-27,12:36:00
20817,Jr. Lima Puno,"-15.838756,-70.02816",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-19,19:39:00
20818,Parque Pino Puno,"-15.8378073,-70.0280672",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-14,18:44:00
20819,Avenida La Torre Puno,"-15.8336052,-70.0276202",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-20,02:08:00
20820,Urbanización Alto Puno,"-15.814292,-70.031918",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-11-09,20:16:00
20821,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-10-14,05:14:00
20822,Urbanización Alto Puno,"-15.814292,-70.031918",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-25,01:51:00
20823,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-27,19:03:00
20824,Salcedo Puno,"-15.8687992,-69.9986595",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-07-13,11:25:00
20825,Colegio Adventista Puno,"-15.8366071,-70.0291852",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-16,03:01:00
20826,Parque del Periodista Puno,"-15.839012,-70.023311",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-08-09,08:47:00
20827,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-10-17,06:35:00
20828,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-02,18:37:00
20829,Parque Pino Puno,"-15.8378073,-70.0280672",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-02,17:29:00
20830,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-20,14:39:00
20831,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-11-12,22:52:00
20832,Urbanización Alto Puno,"-15.814292,-70.031918",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-27,22:52:00
20833,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-08-11,08:40:00
20834,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-19,23:38:00
20835,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-08,10:17:00
20836,Parque Pino Puno,"-15.8378073,-70.0280672",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-14,07:36:00
20837,Salcedo Puno,"-15.8687992,-69.9986595",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-11-16,05:47:00
20838,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-11-26,17:55:00
20839,Jr. Lima Puno,"-15.838756,-70.02816",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-26,22:44:00
20840,Urbanización Alto Puno,"-15.814292,-70.031918",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-18,10:42:00
20841,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Senati Puno,"-15.8699536,-69.9988485",2024-09-08,09:04:00
20842,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-11,10:10:00
20843,Urbanización Alto Puno,"-15.814292,-70.031918",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-23,10:55:00
20844,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-26,18:52:00
20845,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-06,14:03:00
20846,Parque del Periodista Puno,"-15.839012,-70.023311",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-07-18,19:57:00
20847,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Senati Puno,"-15.8699536,-69.9988485",2024-07-21,08:22:00
20848,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-26,21:45:00
20849,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-24,19:43:00
20850,Colegio Don Bosco Puno,"-15.883085,-70.001176",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-16,17:17:00
20851,Jr. Tarapacá Puno,"-15.83755,-70.029158",Senati Puno,"-15.8699536,-69.9988485",2024-08-11,07:01:00
20852,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-06-15,17:37:00
20853,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-08,13:09:00
20854,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-31,20:29:00
20855,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-10-29,01:20:00
20856,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-14,09:27:00
20857,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Alto Puno,"-15.814292,-70.031918",2024-06-02,16:55:00
20858,Colegio Adventista Puno,"-15.8366071,-70.0291852",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-10-25,10:23:00
20859,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-23,02:23:00
20860,Avenida El Sol Puno,"-15.8458219,-70.0202123",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-28,20:41:00
20861,Salcedo Puno,"-15.8687992,-69.9986595",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-06-06,08:14:00
20862,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-26,20:46:00
20863,Parque del Periodista Puno,"-15.839012,-70.023311",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-13,21:09:00
20864,Plaza Vea Puno,"-15.83636,-70.025604",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-29,22:57:00
20865,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-23,03:02:00
20866,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-14,19:47:00
20867,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-06,08:34:00
20868,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-11-10,07:47:00
20869,Av. Costanera Puno,"-15.8399095,-70.0176539",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-09-02,21:08:00
20870,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-31,17:28:00
20871,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-11-16,23:25:00
20872,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-06-23,11:17:00
20873,Jr. Lima Puno,"-15.838756,-70.02816",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-06-28,03:11:00
20874,Colegio Don Bosco Puno,"-15.883085,-70.001176",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-29,18:18:00
20875,Jr. Lima Puno,"-15.838756,-70.02816",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-06,13:10:00
20876,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-19,08:53:00
20877,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-10-25,03:01:00
20878,Jr. Tarapacá Puno,"-15.83755,-70.029158",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-06-14,15:45:00
20879,Urbanización Bellavista Puno,"-15.832755,-70.022242",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-07-19,21:13:00
20880,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-30,23:39:00
20881,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-07,01:01:00
20882,Avenida Floral Puno,"-15.8268687,-70.0141471",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-31,19:10:00
20883,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-24,04:17:00
20884,Puerto Lacustre Puno,"-15.835401,-70.014945",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-17,09:48:00
20885,Urbanización Alto Puno,"-15.814292,-70.031918",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-08,19:07:00
20886,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-27,00:27:00
20887,Avenida La Torre Puno,"-15.8336052,-70.0276202",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-08-28,04:49:00
20888,Jayllihuaya Puno,"-15.8787471,-69.9751057",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-27,06:22:00
20889,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-09-27,14:44:00
20890,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-09-01,12:07:00
20891,Plaza Vea Puno,"-15.83636,-70.025604",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-15,12:03:00
20892,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-15,03:35:00
20893,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-13,20:43:00
20894,Senati Puno,"-15.8699536,-69.9988485",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-05,14:17:00
20895,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-02,04:13:00
20896,Jr. Lima Puno,"-15.838756,-70.02816",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-20,12:14:00
20897,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-07-01,01:50:00
20898,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-26,12:07:00
20899,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-09-29,14:46:00
20900,Avenida Floral Puno,"-15.8268687,-70.0141471",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-27,18:40:00
20901,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-29,10:31:00
20902,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-05,07:03:00
20903,Avenida Floral Puno,"-15.8268687,-70.0141471",Parque del Periodista Puno,"-15.839012,-70.023311",2024-06-09,08:49:00
20904,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-08-25,03:39:00
20905,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-08-09,16:24:00
20906,Terminal Terrestre Puno,"-15.843678,-70.017225",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-05,09:46:00
20907,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-14,08:37:00
20908,Puerto Lacustre Puno,"-15.835401,-70.014945",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-15,02:20:00
20909,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Parque del Niño Puno,"-15.858797,-70.012071",2024-11-29,05:38:00
20910,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-11-25,07:03:00
20911,Urbanización Alto Puno,"-15.814292,-70.031918",Senati Puno,"-15.8699536,-69.9988485",2024-11-22,11:46:00
20912,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-02,17:03:00
20913,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-17,17:11:00
20914,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Urbanización Alto Puno,"-15.814292,-70.031918",2024-07-05,15:41:00
20915,Puerto Lacustre Puno,"-15.835401,-70.014945",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-09,21:00:00
20916,Salcedo Puno,"-15.8687992,-69.9986595",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-11-12,01:15:00
20917,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-23,07:50:00
20918,Senati Puno,"-15.8699536,-69.9988485",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-08-01,01:52:00
20919,Jr. Los Incas Puno,"-15.836837,-70.024882",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-17,20:56:00
20920,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-11-22,19:13:00
20921,Parque San Román Puno,"-15.841093,-70.029431",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-07-22,19:43:00
20922,Jayllihuaya Puno,"-15.8787471,-69.9751057",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-24,15:31:00
20923,Av. Costanera Puno,"-15.8399095,-70.0176539",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-27,20:00:00
20924,Colegio Adventista Puno,"-15.8366071,-70.0291852",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-28,20:24:00
20925,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-10-31,12:59:00
20926,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-18,13:53:00
20927,Puerto Lacustre Puno,"-15.835401,-70.014945",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-03,13:15:00
20928,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-09-01,07:33:00
20929,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-06,19:40:00
20930,Avenida Floral Puno,"-15.8268687,-70.0141471",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-11-06,22:42:00
20931,Senati Puno,"-15.8699536,-69.9988485",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-25,13:22:00
20932,Jr. Lima Puno,"-15.838756,-70.02816",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-11-02,06:35:00
20933,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Senati Puno,"-15.8699536,-69.9988485",2024-07-27,05:05:00
20934,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-12,11:25:00
20935,Parque del Periodista Puno,"-15.839012,-70.023311",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-04,13:45:00
20936,Parque del Niño Puno,"-15.858797,-70.012071",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-06-14,20:10:00
20937,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-24,13:13:00
20938,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-09-23,13:15:00
20939,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-07-06,13:35:00
20940,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-06-21,09:12:00
20941,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-17,11:35:00
20942,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-26,10:12:00
20943,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-01,19:52:00
20944,Colegio Don Bosco Puno,"-15.883085,-70.001176",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-01,19:17:00
20945,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-11-15,11:30:00
20946,Parque San Román Puno,"-15.841093,-70.029431",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-06-09,14:24:00
20947,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-01,12:38:00
20948,Jr. Tarapacá Puno,"-15.83755,-70.029158",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-16,20:48:00
20949,Salcedo Puno,"-15.8687992,-69.9986595",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-15,19:00:00
20950,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-19,04:09:00
20951,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-05,19:07:00
20952,Urbanización Bellavista Puno,"-15.832755,-70.022242",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-08-21,17:01:00
20953,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-11-12,07:26:00
20954,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Plaza Vea Puno,"-15.83636,-70.025604",2024-08-05,16:55:00
20955,Colegio Adventista Puno,"-15.8366071,-70.0291852",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-11-02,15:51:00
20956,Avenida Floral Puno,"-15.8268687,-70.0141471",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-14,18:48:00
20957,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-27,00:50:00
20958,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-09,19:57:00
20959,Ministerio de Cultura Puno,"-15.842631,-70.028915",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-27,03:01:00
20960,Jr. Lima Puno,"-15.838756,-70.02816",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-09,00:33:00
20961,Puerto Lacustre Puno,"-15.835401,-70.014945",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-06-10,23:12:00
20962,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-12,08:13:00
